id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,b Centauri AB b,320,10.9 Jupiters,4.01,2021
1,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
2,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
3,BD-06 1339 b,66,8.5 Earths,9.7,2013
4,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
5,BD-08 2823 b,135,12.7132 Earths,9.86,2009
6,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
7,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
8,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
9,BD-11 4672 c,89,15.37 Earths,10.03,2020
10,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
11,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
12,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
13,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
14,BD-17 63 b,112,5.1 Jupiters,9.62,2008
15,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
16,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
17,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
18,BD+20 594 b,585,22.2481 Earths,10.849,2016
19,BD+45 564 b,175,1.36 Jupiters,9.67,2021
20,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
21,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
22,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
23,BD+55 362 b,171,0.72 Jupiters,9.38,2021
24,BD+60 1417 b,147,15 Jupiters,9.374,2021
25,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
26,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
27,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
28,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
29,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
30,CD Ceti b,28,3.95 Earths,13.95,2020
31,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
32,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
33,CHXR 73 b,621,12.569 Jupiters,,2006
34,CI Tauri b,515,11.6 Jupiters,13.642,2019
35,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
36,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
37,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
38,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
39,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
40,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
41,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
42,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
43,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
44,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
45,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
46,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
47,CoRoT-20 c,2753,17 Jupiters,14.63,2018
48,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
49,CoRoT-22 b,2046,12.2 Earths,13.82,2014
50,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
51,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
52,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
53,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
54,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
55,CD Ceti b,28,3.95 Earths,13.95,2020
56,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
57,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
58,CHXR 73 b,621,12.569 Jupiters,,2006
59,CI Tauri b,515,11.6 Jupiters,13.642,2019
60,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
61,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
62,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
63,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
64,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
65,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
66,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
67,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
68,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
69,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
70,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
71,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
72,CoRoT-20 c,2753,17 Jupiters,14.63,2018
73,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
74,CoRoT-22 b,2046,12.2 Earths,13.82,2014
75,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
76,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
77,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
78,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
79,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
80,CD Ceti b,28,3.95 Earths,13.95,2020
81,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
82,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
83,CHXR 73 b,621,12.569 Jupiters,,2006
84,CI Tauri b,515,11.6 Jupiters,13.642,2019
85,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
